시도,시군구,읍면동,리,지번,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),소유별,취약지역지정사유,데이터기준일
경상북도,문경시,문경읍,진안리,산12-2,36,44,11.383,128,5,36.409,사유림,유역은 크지 않으나 사면 조사결과 다수의 전도된 수목이 발견되었으며 배수시설이 설치되어 있지 않아 강우 또는 호우시 잠재적 피해의 우려가 있음으로 취약지역으로 선정함,2025-12-29
경상북도,문경시,문경읍,진안리,산23-1,36,44,30.965,128,5,7.95,사유림,인접사면의 산림훼손지에서 붕괴의 흔적이 발견되었으며 산사태 위험등급 2등급이상 분포하고 있음으로 취약지역으로 선정함,2025-12-29
경상북도,문경시,문경읍,팔영리,산1-1,36,44,47.892,128,8,40.595,사유림,"우측사면 기존 석축이 붕괴되었으며 사면 내 토사유출, 낙석의 위험이 존재함으로 취약지역으로 선정함",2025-12-29
경상북도,문경시,가은읍,완장리,산93구,36,40,44.086,127,59,22.781,사유림,"계류의 유역규모가 크고, 종단물매가 비교적 급한 계류로 계상에 다수의 돌, 전석 등의 퇴적지가 관찰되고 계안의 표층유실 및 소규모 붕괴지가 관찰됨",2025-12-29
경상북도,문경시,가은읍,완장리,산33-1임,36,40,3.706,128,0,0.011,사유림,"대상지의 유역규모는 작으나, 계상퇴적지가 다수 관찰되고, 계안의 침식지가 다수관찰되어 토사유출이 진행중인 계류임",2025-12-29
경상북도,문경시,가은읍,상괴리,723구,36,39,34.272,128,1,13.814,사유림,"대상지 유역의 규모가 비교적 크고,상부에 벌채지가 존재하고, 계안에 침식지 및 붕괴지가 관찰되며, 계상에 다수의 돌,전석 등의 퇴적물이 관찰되어 계류의 황폐화가 상당히 진행중임",2025-12-29
경상북도,문경시,가은읍,상괴리,711구,36,40,48.424,128,0,59.404,사유림,계류 내 사방사업이 시행된 대상지로 취약지역으로 지정하여 추후 피해여부를 모니터링하고자 함,2025-12-29
경상북도,문경시,가은읍,상괴리,산52임,36,39,34.323,128,1,13.406,사유림,계류 내 사방사업이 시행된 대상지로 취약지역으로 지정하여 추후 피해여부를 모니터링 하고자 함.,2025-12-29
경상북도,문경시,가은읍,작천리,854-4구,36,38,51.564,128,1,48.796,사유림,계류애 사방사업이 시행된 대상지로 취약지역으로 지정하여 추후 피해여부를 모니터링 하고자 함,2025-12-29
경상북도,문경시,마성면,상내리,1153구,36,41,24.882,128,3,29.1,사유림,"계류의 집수구역이 비교적 크고 종단물매가 상당히 급한 계류로 조사구간 전 구간에 걸쳐 침식지가 존재하고 계상에 돌,전석 증이 퇴적되어 하부로 이동시 피해가 예상됨",2025-12-29
경상북도,문경시,마성면,상내리,산136-3임,36,41,32.551,128,3,25.529,사유림,"계류의 종단물매가 상당히 급하고 일부구간 침식지가 존재하고 계상에 자갈,돌 등의 퇴적물이 존재하여 하부로 이동시 피해가 예상됨",2025-12-29
경상북도,문경시,마성면,하내리,산12-7목,36,39,35.009,128,6,21.525,사유림,"본대상지는 거산리 '덕골'에 위치한 산지계류이며 2020년 호우 피해지역으로 복구사업이 진행되었으나,추가적인 붕괴가 발생하였음일부 산각이 무너져 토사유출 등의 피해가 발생하였으나, 피해는 경미한 편으로 지속적인 관찰이 필요할 것으로 사료됨",2025-12-29
경상북도,문경시,마성면,신현리,산8-2임,36,40,13.565,128,7,42.699,사유림,"집수유역이 크코, 계안 침식지가 관찰되며, 계상에 다량의 전석 등의 퇴적물이 존재하며 집중호우 시 하부의 피해가 우려됨.",2025-12-29
경상북도,문경시,마성면,오천리,산50구,36,41,7.423,128,8,1.928,사유림,계류 내 사방사업이 시행된 대상지로 취약지역으로 지정하여 추후 피해여부를 모니터링하고자 함,2025-12-29
경상북도,문경시,마성면,오천리,산7-2임,36,41,17.477,128,8,23.013,사유림,"계류의 유역면적이 비교적 크고, 조사구간 전구간에 걸쳐 계안침식지와 토사 등의 퇴적지가 관찰되고, 일부구역 붕괴지가 관찰되는 등 토사유출이 상당히 진행중인 계류임.",2025-12-29
경상북도,문경시,마성면,외어리,산52-1임,36,42,15.551,128,8,43.207,사유림,"사면은 높지 않으나, 풍화암반에서 이완된 암석의 낙석가능성이 있음.",2025-12-29
경상북도,문경시,문경읍,각서리,산63임,36,44,33.819,128,4,25.015,사유림,"대상지의 유역규모는 비교적 작으나 계상 전구간에 걸쳐 자갈, 돌 등의 퇴적물이 존재하고, 계안 일부구간에 침식과 표층유실이 진행되어 토사유출이 진행중인 계류임.",2025-12-29
경상북도,문경시,문경읍,상초리,산21-3임,36,45,51.874,128,4,43.871,사유림,"집수면적이 크고, 급경사 계류 내 침식지가 존재하고, 계상에 다량의 전석, 암괴 등의 퇴적물이 존재하여 하부로 이동시 피해가 우려됨.",2025-12-29
경상북도,문경시,문경읍,지곡리,산28임,36,44,56.708,128,7,18.841,사유림,종계류의 집수면적은 소규모이나 존단물매가 비교적 급하고 하류부는 경작지의 계류는 형태가 희미한 상태이며 계류내 일부구간 표층유실과 침식지가 관찰되며 조사구간 전구간에 걸쳐 계상에 퇴적물이 관찰되어 하부로 이동 시 피해가 우려 됨,2025-12-29
경상북도,문경시,문경읍,평천리,산89-1임,36,47,37.363,128,7,14.851,사유림,"일부구간 계안 침식지가 관찰되며 암반계안의 풍화가 심해 이완된 암석이 탈락하여 계상에 퇴적되고 있으며, 계상 퇴적지가 관찰되어 하부로 이동시 피해가 우려됨",2025-12-29
경상북도,문경시,문경읍,평천리,889구,36,47,39.113,128,7,54.853,사유림,계류의 집수면적이 비교적 크고 계류 내 사면의 침식과 표층유실이 관찰되며 일부구간 퇴적지가 관찰됨. 경작지 주변 일부구간이 유역면적에 비해 통수단면적이 작아 집중호우시 하부의 피해가 우려됨.,2025-12-29
경상북도,문경시,문경읍,용연리,산15임,36,46,46.51,128,9,48.064,사유림,"계류의 집수면적이 작고, 종단경사는 비교적 완만하나, 계안에 다수의 침식이 관찰되고, 조사구간 전구간에 걸쳐 지속적인 퇴적이 관찰되어 집중호우시 하부로 이동할 경우 피해가 우려됨.",2025-12-29
경상북도,문경시,문경읍,갈평리,산66-1임,36,47,33.135,128,9,51.868,사유림,계류 내 사방사업이 시행된 대상지로 취약지역으로 지정하여 추후 피해여부를 모니터링하고자 함,2025-12-29
경상북도,문경시,문경읍,관음리,산115-1임,36,48,35.623,128,8,8.998,사유림,계류 내 사방사업이 시행된 대상지로 취약지역으로 지정하여 추후 피해여부를 모니터링하고자 함,2025-12-29
경상북도,문경시,문경읍,관음리,산77임,36,48,42.358,128,7,53.962,사유림,계류의 유역면적이 작고 종단물매가 비교적 완만하지만 계상퇴적지가 다수 분포하고 있으며 ㅊ좌측계안 침식이 조가구간 전구간에 걸쳐 관찰되며 토사유출이 진행중인 계류임,2025-12-29
경상북도,문경시,동로면,생달리,산72임,36,48,51.2,128,15,41.623,사유림,계류의 유역면적이 크고 계상에 전구간에 걸쳐 다수의 전석 및 돌 등의 퇴적물이 존재하며 일부구간 길하부 계안의 침식이 관찰되어 집중호우시 길의 유실과 전석 등의 퇴적물의 이동으로 인한 피해가 우려됨,2025-12-29
경상북도,문경시,농암면,내서리,산19임,36,33,54.655,127,57,50.611,사유림,계류의 집수면적이 크고 계류 하부 계상에 다량의 돌 전석 등의 퇴적물이 관찰되며 조사구간 시점부는 계류가 얕아 월류가 우려됨,2025-12-29
경상북도,문경시,산북면,내화리,산45임,36,41,13.1,128,16,16,사유림,"본 대상지 평균경사도는 42°의 절험지로 사면의 암석이 노출되어 있으며, 노출된 암석이 풍화됨에 따라, 낙석의 위험이 존재함. 또한, 사면에 중경목 활엽수림이 자라고 있으며, 임목의 성장에 따라, 전도가능성이 있어, 일부 수목의 벌목이 필요함. 현장조사 결과, 절험지 하면에 인가가 연접하여 있으며, 낙석과 수목의 전도위험이 존재함",2025-12-29
경상북도,문경시,산북면,대하리,산47임,36,40,17.7,128,15,15,사유림,"본 대상지 평균경사도는 24°의 급경사지로 인가와 연접하여 있으며, 사면 절토부의 피복이 부족하여 토양이 노출되어 토사유출이 발생함. 사면과 인가 사이에 배수시설이 존재하지 않으며, 일부 인가는 사면과 밀접하여 있어, 호우 시 유수에 의한 피해가 발생할 우려가 높음. 현장조사 결과, 사면을 절토하여 인가를 지었으나, 사면 절토부의 경사가 급하며, 사면과 인가 사이 배수시설이 존재하지 않아 호우시 유수의 침투와 토사유입이 발생하고 있음",2025-12-29
경상북도,문경시,산북면,우곡리,산20임,36,42,26.6,128,14,14,사유림,"본 대상지 평균경사도는 34°의 절험지로 경사가 급하여, 사면 상부에서 발생한 낙석이 인가의 벽과 농경지로 떨어지는 피해가 발생함 사면에 모암의 일부 노출되어 풍화되고 있으며, 교목 및 아교목 수목은 밀도 가 높게 생육하고 있으나 관목의 밀도가 낮음. 현장조사 결과, 인가 배후의 사면으로 절험지의 사면으로 경사가 가파르며, 사면에 부분적으로 암반이 돌출되어 있고 돌출된 암반이 풍화되며 낙석이 발생하여, 인가 피해가 발생함. 또한 수목이 높은 밀도로 자라고 있으나, 하층 관목의 밀도가 낮아, 낙석을 방지하지 못함",2025-12-29
경상북도,문경시,산양면,봉정리,산73-2임,36,37,43.1,128,14,14,사유림,"본 대상지 평균경사도는 42°의 절험지로 가파른 경사로 암반 노출이 많은 암반사면으로 구성되어 있으며, 사면 상부 침엽수림이 밀한 밀도로 생육하고 있음. 현장조사 결과, 암반사면의 암반에서 균열이 발견되며, 사면 하부에 암반에서 분리된 낙석이 퇴적되어 있고 또한, 암반사면 상부의 가장자리에 중경목 수목이 자리하고 있어 도복 위험이 존재함",2025-12-29
경상북도,문경시,호계면,부곡리,산8-1임,36,41,1.8,128,12,12,사유림,"본 대상지 평균경사도는 58°의  절험지의 암반사면으로 사면하부에 마을 쉼터와 인가 1동이 위치하고 있음. 석회질 퇴적암으로 구성된 암반이 층리 및 절리의 풍화에 따라 암편의 형태로 낙석 발생의 위험이 높아지고 있으며 현장조사 결과, 퇴적암의 특성에 따라 큰 붕괴보다는 소규모 낙석이 지속적으로 생성될 것으로 판단되며, 일부 수목의 도복이 발생할 수 있음. 인가 배후는 비교적 사면이 높이가 낮고 죽림이 조성되어 위험도가 낮으며, 사면하부의 낙석에 대한 주의가 필요함",2025-12-29
경상북도,문경시,동로면,수평리,산45-1임,36,43,19.366,128,18,18,사유림,"본 대상지 평균경사도는 35°의 절험지로 경사가 매우 급하며, 토사사면으로 구성되어 있으나 일부 암석이 노출되어 있음. 현장조사 결과, 노출된 암석이 풍화되어 일부 낙석이 발생 할 수 있으며, 인가 배후로 우천시 유수가 흘러내리는 것으로 확인되며 사면 상부에 낙석방지책을 설치하였으나, 규모가 협소하여 인가 좌측을 낙석에 노출되어 있음 ",2025-12-29
경상북도,문경시,농암면,지동리,산13-1임,36,33,42.045,128,3,3,사유림,"본 대상지 평균경사도는 23°의  급경사지로 경사가 가파르며, 인가배후의 사면으로 침식으로 인한 토사유출이 발생하여 임시조치를 취하였으나, 피해가 확산될 것으로 판단됨. 또한 마을 농기구 창고 배후의 사면은 창고 건설을 위해 사면을 절토한 곳으로, 절토사면이 노출되어 차후 침식과 붕괴 피해가 예상됨. 현장조사 결과, 인가와 마을 농기구 창고 건축을 위하 사면을 훼손한 곳으로 절토부위가 노출되어 토사유출이 진행되고 있으며, 호우 시 사면을 막아줄 임분이 없어 침식이 가속화 될 것으로 사료됨",2025-12-29
경상북도,문경시,농암면,화산리,산3임,36,34,52.583,127,59,59,사유림,"본 대상지 평균경사도는 28°의  험준지로 경사가 가파른 편이며, 수목이 밀하게 생육하고 있어 사면 내 환경은 비교적 안정적이나, 사면 안정해석 결과 우기 시 사면 중하부의 붕괴 위험이 높은 것으로 나타남. 또한, 인가 배후의 사면에 토양 침식으로 수목의 뿌리가 노출되어 있으며, 수목 전도 시 인가 피해가 발생할 것으로 판단됨",2025-12-29
경상북도,문경시,동로면,간송리,산114임,36,44,0.537,128,18,18,사유림,"본 대상지 평균경사도는 30°의 절험지로 경사가 비교적 가파르며 인가와 연접하여 있고 사면을 따라 절토사면이 길게 이어져 있으며, 절토부가 노출되어 지속적으로 침식과 토사유출이 발생하고 있음. 절토부에 뿌리가 노출된 수목의 전도 위험이 있으며, 호우 시 사면 붕괴가 발생할 우려가 존재함. 현장조사 결과, 산림재해 발생 위험이 존재하는 곳으로 절토부위 사면이 노출되어 있으며, 사면과 인가가 연접하여 피해 발생시 인명 및 재산피해 발생위험이 높은 편임",2025-12-29
경상북도,문경시,모전동,,산16임,36,35,36.724,128,10,10,사유림,"본 대상지는 모전동 ‘모전초등학교’배후에 위치한 산지계류로 계류의 유출구에 ‘모전초등학교’가 위치하고 있음계류 상류의 경사가 가파르며, 계안의 암반이 노출되고 있고, 계상 석력의 유하와 유목이 발생하여, 산지토사재해 발생 우려가 존재함",2025-12-29
경상북도,문경시,산북면,김용리,산11임,36,44,36.869,128,13,13,사유림,"본 대상지는 긺용리 ‘김용사’에 인접한 산지계류로 계류 하부에 ‘김용사’ 사찰이 위치하고 있음계류에 기슭막이, 바닥막이 등이 설치되어 있으며, 계류 하부 기슭막이의 일부 파손이 발생하였고, 계류 상부 석력이 다량 적채되어 있음",2025-12-29
경상북도,문경시,호계면,봉서리,산10-2임,36,37,12.376,128,12,12,사유림,"본 대상지는 봉서리에 위치한 산지계류로, 계류 우안에 다수의 묘지와 계류 하부 인가 1동이 위치함소계류가 발달하고 있는 곳으로, 마사토 토양의 토사유출이 관찰되며, 침식의 확대가 빠르게 진행될 것으로 사료됨",2025-12-29
경상북도,문경시,동로면,수평리,산42임,36,43,34.802,128,18,18,사유림,"본 대상지는 수평1리마을 상류에 위치한 산지계류로 계류 하부 도로시설과 인가1동이 위치하고 있음대상 계류의 경사가 다소 가파르며, 계상에 석력이 다량 적채되어 있고, 시뮬레이션 결과 인명 및 재산 피해가 발생할 위험이 확인되어 A등급으로 판정함",2025-12-29
경상북도,문경시,동로면,간송리,1093,36,44,58.197,128,20,20,사유림,본 대상지는 간송리에 위치한 산지계류로 계류 인근 농경지가 위치하여 있음대상 계류의 유역면적이 약250ha로  대야계이며 호우 시 유수의 집중에 의한 피해 발생위험이 높은 곳으로 B등급으로 판정함,2025-12-29
경상북도,문경시,농암면,종곡리,산39임,36,36,2.1,127,59,59,사유림,본 대상지는 종곡리 ‘북실골’ 상류에 위치한 산지계류로 계류 하류에 인가1동 및 경작지가 위치하고 있음대상 계류 계안의 암반이 노출되어 암편이 발생하고 있으며 계안의 침식으로 토사유출 등의 피해가 발생하였음,2025-12-29
경상북도,문경시,산북면,대하리,산56-4,36,39,54.664,128,15,15,사유림,"본 대상지는 대하리에 위치한 산지계류로 계류 하부에 축사 및 인가가 위치하여 있음대상 계류의 상부에 벌채지가 존재하며, 2020년 호우 피해가 발생한 지역으로 토심이 깊으며, 계류의 상류에 침식이 발생하고 있어 지속적인 관찰이 필요한 지역임",2025-12-29
경상북도,문경시,산북면,거산리,산126-1,36,43,36.19,128,14,14,사유림,"본 대상지는 거산리 ‘덕골’에 위치한 산지계류로 계류 하부 농경지가 위치하며, 2020년 호우로 인해 산지토사재해가 발생한 지역임2021년 산지사방으로 복구사업이 진행되었으나 계안 상부의 추가 붕괴가 발생하였으며, 추가적인 사업보다 지속적인 관찰이 권장됨",2025-12-29
경상북도,문경시,농암면,화산리,산25-1,36,35,26.4,127,59,59,사유림,"본 대상지는 화산리 ‘연엽골’에 위치한 산지계류로 계류 상부 인가가 존재하며, 유출구 하류 마을이 위치하고 있음계류의 침식 및 붕괴가 관찰되며, 전석 및 석력이 다량 적채되어 있어 계류가 매우 불안정하며 산지토사재해의 발생 우려가 다소 높은 지역임",2025-12-29
경상북도,문경시,영순면,이목리,산60임,36,33,20.056,128,15,49.016,사유림,"계류내 일부구간의 침식지가 관찰되고, 다수의 구간에서 수목의 전도가 관찰되며, 일부구간 계상에 전석이 존재하여 집중호우시 하부 인가의 피해가 우려됨.",2025-12-29
경상북도,문경시,영순면,이목리,산68임,36,33,20.951,128,15,40.045,사유림,"계류의 종단물매가 급하고, 계류내 다수의 구간에서 침식으로 인한 토사유출이 진행중이고, 다수의 구간에서 수목의 전도가 관찰되는 등 계류의 황폐화가 상당히 진행중임.",2025-12-29
경상북도,문경시,공평동,,산107-1임,36,37,5.765,128,10,15.436,사유림,"집수구역내 벌채지가 존재하고, 유출구에 배수시설이 존재하지 않으며, 일부구간 계류의 형태가 희미하여 월류가능성이 존재함.",2025-12-29
경상북도,문경시,호계면,구산리,산12임,36,38,36.452,128,12,52.477,사유림,"사면의 토심이 깊고, 인가 배후 사면내 넓은 구간에 토사유출이 진행되어 인가의 피해 발생 이력이 있음.",2025-12-29
경상북도,문경시,산북면,지내리,307임,36,38,42.944,128,19,29.894,사유림,"좌측 사면 상부 인가의 붕괴 이력이 있고, 인가 배후 사면내 침식으로 인한 토사유출이 진행중임.",2025-12-29
경상북도,문경시,산북면,지내리,산43임,36,38,42.114,128,19,47.649,사유림,인가 배후 사면하부에 침식으로 인한 토사유출이 진행중임.,2025-12-29
경상북도,문경시,산북면,가곡리,144-1임,36,40,15.399,128,18,23.233,사유림,"계류의 종단물매가 급하고, 수목의 전도가 다수 관찰되며, 계상에 다수의 전석이 존재하여 집중호우시 하부의 피해가 우려됨.",2025-12-29
경상북도,문경시,산북면,석봉리,249전,36,42,49.491,128,13,4.378,사유림,"계류내 일부구간에서 슬라이딩에 의한 퇴적지가 관찰되고, 일부구간 계안의 침식으로 인한 토사유출이 진행중임.",2025-12-29
